index,link_id,src_lat,src_long,des_lat,des_long
228,991026-992075,22.38401019,114.190392,22.38413025,114.1902469
229,991027-992078,22.3803508,114.2074383,22.38024816,114.2072785
230,991028-992083,22.37767657,114.2028788,22.37762815,114.2026917
231,991029-992084,22.37775369,114.202849,22.37770886,114.202661
232,991030-992086,22.3662408,114.1806506,22.36641983,114.1806761
233,991031-992090,22.36969048,114.1762819,22.36956546,114.1761417
234,991032-992093,22.37599447,114.1874885,22.37585134,114.1876069
235,991033-992098,22.37024087,114.1885914,22.37012669,114.1884411
236,991034-992101,22.36685405,114.1859236,22.36673583,114.1857768
237,991035-992104,22.36485892,114.1823281,22.36470814,114.1822217
238,991035-992105,22.36485892,114.1823281,22.36477288,114.1821574
239,991036-992108,22.36346062,114.1800852,22.36332339,114.1799589
240,991037-992111,22.35999867,114.1760578,22.35986626,114.1759257
241,991038-992114,22.35807708,114.173306,22.35792204,114.1732076
242,991040-992119,22.37693415,114.1780809,22.37687591,114.1778971
243,991041-992122,22.37214306,114.1748815,22.37197515,114.1748099
244,991042-992125,22.36709758,114.1712675,22.36698621,114.1711147
245,991044-992130,22.38019382,114.1769665,22.38032076,114.1768283
246,991045-992133,22.38118484,114.1686855,22.3811422,114.1684968
247,991046-992136,22.38081753,114.1671414,22.38077232,114.1669533
248,991048-992139,22.46410663,114.053713,22.46393022,114.0536714
249,991049-992144,22.45379115,114.0497774,22.45363325,114.0496831
250,991050-992145,22.45384584,114.0496926,22.45369605,114.0495842
251,991051-992148,22.44637523,114.0493666,22.44620618,114.049435
252,991052-992151,22.44021206,114.0545765,22.44009823,114.0547274
253,991053-992154,22.43582219,114.0601448,22.43568516,114.0602713
254,991054-992157,22.42316612,114.0643149,22.42298552,114.0643133
255,991055-992160,22.4130958,114.0623628,22.41293784,114.0622686
256,991056-992163,22.37433073,114.0691898,22.37422093,114.069344
257,991057-992166,22.44897603,114.0476835,22.44891064,114.0475026
258,991058-992169,22.44639085,114.0399861,22.44622747,114.0399033
259,991059-992172,22.43627748,114.0358224,22.43615585,114.0356788
260,991060-992175,22.43431511,114.0276586,22.43434815,114.0274676
261,991061-992178,22.43717079,114.0165115,22.43724673,114.0163352
262,991062-992181,22.43679707,114.0080346,22.43673888,114.0078507
263,991063-992184,22.43113939,114.0023426,22.43096866,114.0022792
264,991064-992187,22.42325391,113.9954304,22.42314349,113.9952767
265,991065-992190,22.41548868,113.9867069,22.41546577,113.9865142
266,991066-992193,22.41231949,113.979752,22.41214526,113.9797008
267,991067-992196,22.40107554,113.9772291,22.40089813,113.9771927
268,991068-992199,22.39487639,113.9766671,22.39470169,113.9767164
269,991069-992202,22.3903442,113.9779496,22.39016945,113.9779986
270,991070-992205,22.38227287,113.9814554,22.38213732,113.9815838
271,991071-992208,22.3752899,113.9910746,22.37534346,113.99126
272,991072-992211,22.37282653,113.998239,22.372667,113.9983301
273,991073-992214,22.36738613,114.006795,22.367332,114.0069803
274,991074-992217,22.364275,114.0142859,22.36411893,114.0143836
275,991075-992220,22.35842826,114.0191418,22.35830399,114.0192827
276,991076-992223,22.35602455,114.0272641,22.35604093,114.0274575
277,991077-992226,22.36226972,114.03871,22.36237066,114.038871
278,991078-992229,22.36685961,114.0538947,22.36691002,114.0540811
279,991079-992232,22.36660266,114.0659086,22.36652117,114.0660819
280,991080-992235,22.37173181,114.0753169,22.37172698,114.0755108
281,991081-992238,22.36971231,114.0850704,22.36965831,114.0852557
282,991082-992241,22.37029149,114.0938962,22.37017543,114.094045
283,991084-992246,22.39372266,113.9782188,22.39355944,113.978302
284,991085-992248,22.38552656,113.9810599,22.38534753,113.9810343
285,991086-992252,22.37807552,113.9825101,22.37805402,113.9827029
286,991087-992254,22.37312189,113.9927788,22.37297229,113.9928875
287,991088-992258,22.36772027,114.0003863,22.36762446,114.0005508
288,991089-992261,22.36639535,114.0099456,22.36637609,114.0101386
289,991090-992264,22.35688884,114.0200794,22.35682169,114.0202596
290,991091-992267,22.35637003,114.0323118,22.35643483,114.032493
291,991092-992270,22.36066625,114.0421343,22.36074038,114.0423113
292,991093-992273,22.36577551,114.0574811,22.36586544,114.0576495
293,991094-992276,22.36774857,114.0603244,22.36777352,114.0605167
294,991095-992279,22.36460579,114.0695923,22.36472224,114.0697406
295,991096-992282,22.37058104,114.0800962,22.37058674,114.08029
296,991097-992285,22.36754474,114.0901154,22.36753708,114.0903094
297,992001-992002,22.42687486,114.2071366,22.42456699,114.2106776
298,992002-992003,22.42456699,114.2106776,22.42446171,114.2108354
299,992003-991002,22.42446171,114.2108354,22.42434769,114.2109861
300,992004-992005,22.42423446,114.2111374,22.41721662,114.2136044
301,992005-992006,22.41721662,114.2136044,22.41703923,114.2135679
302,992006-991003,22.41703923,114.2135679,22.41703923,114.2135679
303,992007-993001,22.4168616,114.2135327,22.41303148,114.2127507
304,992008-992009,22.4062501,114.2098262,22.40615407,114.2096617
305,992009-991004,22.40615407,114.2096617,22.40605964,114.2094962
306,992010-992011,22.40597284,114.2093258,22.4050086,114.2076652
307,992011-992012,22.4050086,114.2076652,22.40490265,114.2075079
308,992012-991005,22.40490265,114.2075079,22.4047967,114.2073506
309,992013-992040,22.40468742,114.207196,22.40244667,114.204731
310,992014-992015,22.40973314,114.213529,22.40960622,114.2136671
311,992015-991006,22.40960622,114.2136671,22.40948231,114.2138084
312,992016-992017,22.40936067,114.213952,22.40635006,114.2176087
313,992017-992018,22.40635006,114.2176087,22.4062259,114.2177497
314,992018-991007,22.4062259,114.2177497,22.40609444,114.2178829
315,992019-992020,22.40595367,114.2180041,22.39994378,114.2129174
316,992020-992021,22.39994378,114.2129174,22.39980821,114.212789
317,992021-991008,22.39980821,114.212789,22.39967263,114.2126607
318,992022-992023,22.3995329,114.2125376,22.39285998,114.209583
319,992023-992024,22.39285998,114.209583,22.39267952,114.2095906
320,992024-991009,22.39267952,114.2095906,22.39249935,114.2096026
321,992025-992026,22.39231963,114.2096219,22.39008516,114.2104331
322,992026-992027,22.39008516,114.2104331,22.38992095,114.2105139
323,992027-991010,22.38992095,114.2105139,22.38975753,114.2105966
324,992028-992029,22.38959262,114.2106758,22.38839307,114.2111583
325,992029-992030,22.38839307,114.2111583,22.38821568,114.2111942
326,992030-991011,22.38821568,114.2111942,22.38803719,114.2112239
327,992031-993002,22.38785732,114.2112414,22.38661565,114.2111638
328,992032-992033,22.38028687,114.2102812,22.38010671,114.2102946
329,992033-991012,22.38010671,114.2102946,22.37992716,114.2103157
330,992034-992035,22.37974832,114.2103428,22.37822334,114.2111084
331,992035-992036,22.37822334,114.2111084,22.37809219,114.2112419
332,992036-991013,22.37809219,114.2112419,22.37809219,114.2112419
333,992037-993003,22.377967,114.2113819,22.37612389,114.2132322
334,992038-992039,22.34058668,114.2039544,22.34042742,114.2038628
335,992039-991014,22.34042742,114.2038628,22.34026526,114.2037776
336,992040-992041,22.40244667,114.204731,22.40230591,114.2046093
337,992041-991015,22.40230591,114.2046093,22.40216467,114.2044882
338,992042-992043,22.40202128,114.2043702,22.3978494,114.2016312
339,992043-992044,22.3978494,114.2016312,22.39769392,114.2015323
340,992044-991016,22.39769392,114.2015323,22.39753918,114.2014322
341,992045-992046,22.39738568,114.2013298,22.395051,114.1998311
342,992046-992047,22.395051,114.1998311,22.39489351,114.199736
343,992047-991017,22.39489351,114.199736,22.3947352,114.1996426
344,992048-993005,22.39457351,114.1995561,22.39388625,114.1992767
345,992049-992050,22.3888974,114.193382,22.3887725,114.1932417
346,992050-991018,22.3887725,114.1932417,22.3886476,114.1931015
347,992051-992052,22.38852269,114.1929612,22.38520669,114.1899818
348,992052-992053,22.38520669,114.1899818,22.38505875,114.1898704
349,992053-991019,22.38505875,114.1898704,22.3849108,114.189759
350,992054-993006,22.38476599,114.189643,22.38271471,114.1880524
351,992055-992056,22.3810309,114.1867477,22.3808772,114.1866457
352,992056-991020,22.3808772,114.1866457,22.38072221,114.1865461
353,992057-993007,22.38056397,114.1864525,22.38029213,114.1862951
354,992058-992059,22.39189997,114.1987741,22.39172169,114.1987431
355,992059-991021,22.39172169,114.1987431,22.39154214,114.1987228
356,992060-992061,22.39136162,114.1987177,22.38399312,114.2015803
357,992061-992062,22.38399312,114.2015803,22.38381839,114.2015312
358,992062-991022,22.38381839,114.2015312,22.38364366,114.201482
359,992063-992064,22.38346846,114.2014348,22.38126388,114.2008319
360,992064-992065,22.38126388,114.2008319,22.38109127,114.2007747
361,992065-991023,22.38109127,114.2007747,22.38091984,114.2007136
362,992066-993011,22.38074824,114.200653,22.37487655,114.1970166
363,992067-992068,22.3741253,114.1945964,22.37407839,114.1944089
364,992068-991024,22.37407839,114.1944089,22.37402947,114.1942219
365,992069-992095,22.37398307,114.1940343,22.37050187,114.1888597
366,992070-992071,22.37918727,114.1963759,22.3792841,114.196212
367,992071-991025,22.3792841,114.196212,22.37938674,114.1960522
368,992072-993009,22.37949449,114.1958964,22.3826644,114.1919995
369,992073-992074,22.38378122,114.1906921,22.38390086,114.1905466
370,992074-991026,22.38390086,114.1905466,22.38401019,114.190392
371,992075-993006,22.38413025,114.1902469,22.38271471,114.1880524
372,992076-992077,22.38055822,114.2077563,22.38045432,114.2075974
373,992077-991027,22.38045432,114.2075974,22.3803508,114.2074383
374,992078-993010,22.38024816,114.2072785,22.37800539,114.2036767
375,992079-992081,22.37779171,114.2032469,22.37773226,114.2030636
376,992080-992082,22.37785401,114.2032221,22.37780134,114.2030363
377,992081-991028,22.37773226,114.2030636,22.37767657,114.2028788
378,992082-991029,22.37780134,114.2030363,22.37775369,114.202849
379,992083-992070,22.37762815,114.2026917,22.37918727,114.1963759
380,992084-993011,22.37770886,114.202661,22.37487655,114.1970166
381,992085-991030,22.36606049,114.180645,22.3662408,114.1806506
382,992086-992087,22.36641983,114.1806761,22.36659824,114.1807063
383,992087-993012,22.36659824,114.1807063,22.37110446,114.178785
384,992088-992089,22.36992758,114.1765736,22.36981784,114.1764196
385,992089-991031,22.36981784,114.1764196,22.36969048,114.1762819
386,992090-993013,22.36956546,114.1761417,22.36741183,114.17167
387,992091-992092,22.37628682,114.1872605,22.37599447,114.1874885
388,992092-991032,22.37599447,114.1874885,22.37599447,114.1874885
389,992093-992094,22.37585134,114.1876069,22.37033183,114.1887573
390,992094-992096,22.37033183,114.1887573,22.37033183,114.1887573
391,992095-992097,22.37050187,114.1888597,22.37036991,114.1887272
392,992096-991033,22.37033183,114.1887573,22.37024087,114.1885914
393,992097-991033,22.37036991,114.1887272,22.37024087,114.1885914
394,992098-992099,22.37012669,114.1884411,22.36697238,114.1860703
395,992099-992100,22.36697238,114.1860703,22.36685405,114.1859236
396,992100-991034,22.36685405,114.1859236,22.36685405,114.1859236
397,992101-992102,22.36673583,114.1857768,22.36502687,114.1826719
398,992102-992103,22.36502687,114.1826719,22.36494385,114.1824995
399,992103-991035,22.36494385,114.1824995,22.36485892,114.1823281
400,992104-992085,22.36470814,114.1822217,22.36606049,114.180645
401,992105-992106,22.36477288,114.1821574,22.36359113,114.1802193
402,992106-992107,22.36359113,114.1802193,22.36346062,114.1800852
403,992107-991036,22.36346062,114.1800852,22.36346062,114.1800852
404,992108-993014,22.36332339,114.1799589,22.36172859,114.1778692
405,992109-992110,22.36026301,114.1763225,22.36013116,114.1761898
406,992110-991037,22.36013116,114.1761898,22.35999867,114.1760578
407,992111-992112,22.35986626,114.1759257,22.35821576,114.1734299
408,992112-992113,22.35821576,114.1734299,22.35807708,114.173306
409,992113-991038,22.35807708,114.173306,22.35807708,114.173306
410,992114-993015,22.35792204,114.1732076,22.35681652,114.1732483
411,992115-993016,22.34644418,114.1814628,22.34644418,114.1814628
412,992116-991039,22.34613592,114.1815205,22.34631544,114.1815025
413,992117-992118,22.37705589,114.1784466,22.37699502,114.1782638
414,992118-991040,22.37699502,114.1782638,22.37693415,114.1780809
415,992119-992120,22.37687591,114.1778971,22.37248158,114.1750169
416,992120-992121,22.37248158,114.1750169,22.37231179,114.1749507
417,992121-991041,22.37231179,114.1749507,22.37214306,114.1748815
418,992122-993013,22.37197515,114.1748099,22.36741183,114.17167
419,992123-992124,22.36733076,114.1715641,22.36721417,114.1714158
420,992124-991042,22.36721417,114.1714158,22.36709758,114.1712675
421,992125-993017,22.36698621,114.1711147,22.35793535,114.162838
422,992126-992127,22.34400596,114.1449664,22.34388035,114.144827
423,992127-991043,22.34388035,114.144827,22.34375197,114.1446904
424,992128-992129,22.37993929,114.1772421,22.38006655,114.1771043
425,992129-991044,22.38006655,114.1771043,22.38019382,114.1769665
426,992130-992131,22.38032076,114.1768283,22.38127698,114.169061
427,992131-992132,22.38127698,114.169061,22.38122977,114.1688736
428,992132-991045,22.38122977,114.1688736,22.38118484,114.1686855
429,992133-992134,22.3811422,114.1684968,22.38090635,114.1675178
430,992134-992135,22.38090635,114.1675178,22.38086225,114.1673295
431,992135-991046,22.38086225,114.1673295,22.38081753,114.1671414
432,992136-993019,22.38077232,114.1669533,22.38049419,114.165826
433,992137-992138,22.38037848,114.1394766,22.38050392,114.1393369
434,992138-991047,22.38050392,114.1393369,22.38062937,114.1391971
435,992139-993021,22.46393022,114.0536714,22.45437944,114.0501606
436,992140-992142,22.45394459,114.0498799,22.45379115,114.0497774
437,992141-992143,22.45399361,114.0498044,22.45384584,114.0496926
438,992142-991049,22.45379115,114.0497774,22.45379115,114.0497774
